ParName   Value   Gradient
parm_dev[4](1996)   -0.0857351 -2.12201e-007
parm_dev[4](1997)    -0.378932 -4.99725e-007
parm_dev[4](1998)     0.357456 -9.89022e-007
parm_dev[4](1999)    -0.395248  4.4465e-007
parm_dev[4](2000)     0.191667 5.49506e-007
parm_dev[4](2001)    -0.189994 5.63716e-007
parm_dev[4](2002)     0.175187 5.61543e-007
parm_dev[4](2003)     0.282478 -1.42123e-007
parm_dev[4](2004)    -0.654377 1.89487e-007
parm_dev[4](2005)     0.401686 -1.48705e-006
parm_dev[4](2006)     0.144047 -1.25694e-006
parm_dev[4](2007)    -0.176856 -1.65406e-007
parm_dev[4](2008)     0.412772 4.24653e-007
parm_dev[4](2009)    -0.328293 -3.34299e-006
parm_dev[4](2010)    -0.448098 -4.40483e-006
parm_dev[4](2011)    -0.210241 7.06633e-006
parm_dev[4](2012)    -0.472094 -1.9114e-006
parm_dev[4](2013)  -0.00200024 -6.96892e-007
parm_dev[4](2014)   -0.0212861 -1.02806e-006
parm_dev[4](2015)   -0.0655811 -3.05405e-007
parm_dev[4](2016)    -0.116837 1.84067e-006
parm_dev[4](2017)    -0.168577 1.52822e-005
parm_dev[4](2018)    -0.107879 2.30652e-006
parm_dev[4](2019)     0.174772 1.41028e-005
parm_dev[5](1991)    -0.159553 -5.58425e-008
parm_dev[5](1992)    0.0842275 5.04458e-008
parm_dev[5](1993)    -0.440789 -4.71414e-007
parm_dev[5](1994)     0.107008 3.55924e-007
parm_dev[5](1995)    -0.124824 5.89797e-007
parm_dev[5](1996)     0.354594 -1.75734e-007
parm_dev[5](1997)     0.163508 -2.92527e-009
parm_dev[5](1998)    -0.483794 -7.59253e-007
parm_dev[5](1999)    -0.237954 2.31346e-007
parm_dev[5](2000)   -0.0761895 -2.00244e-008
parm_dev[5](2001)    -0.231791 2.65939e-007
parm_dev[5](2002)    -0.456068 -1.24994e-007
parm_dev[5](2003)    -0.265042 1.11942e-006
parm_dev[5](2004)    -0.123429 -4.36244e-007
parm_dev[5](2005)    -0.559746 -1.78822e-006
parm_dev[5](2006)    -0.343717 -1.97724e-006
parm_dev[5](2007)  -0.00878957 -1.06269e-006
parm_dev[5](2008)    -0.175472 4.55555e-007
parm_dev[5](2009)     0.193364 -3.57148e-006
parm_dev[5](2010)    -0.563515 -4.55963e-006
parm_dev[5](2011)     -0.43597 6.97514e-006
parm_dev[5](2012)    -0.336705 -1.87089e-006
parm_dev[5](2013)    0.0889208 1.72311e-006
parm_dev[5](2014)  -0.00730877 -1.66717e-006
parm_dev[5](2015)    -0.492133 -3.55049e-007
parm_dev[5](2016)    -0.323501 2.43548e-006
parm_dev[5](2017)   -0.0984366 1.52807e-005
parm_dev[5](2018)      0.20354 2.58089e-006
parm_dev[5](2019)    0.0582895 1.27141e-005
