"year","Nsamples","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Country","am"
2008,51,0,0.0689751564033767,0.0690765056182388,0.0190049641654182,0.0871769864834729,0.00839701592418641,0.0332554495737046,0.0291786337110731,0.503328077059099,0.0880282235565398,0.0334909577821858,0.0155130904249002,0.0201178396940251,0.00752935627046583,0.0169277433333139,"CAN",7.95933553459883
2009,26,0,0.00373027303434223,0.1215717491631,0.170793365930579,0.0535652495628703,0.153170516501915,0.0289535830070006,0.029723207119507,0.0458379990768253,0.291369385543827,0.0558171419977361,0.0231380871898018,0.0096409021365709,0.00584109893123975,0.00684744080468484,"CAN",7.21035952237667
2010,25,0,0.0145947503122549,0.0202926251225732,0.1712360674398,0.335992732114274,0.0704234516816075,0.0714195941041988,0.0173859020412346,0.0146938981797999,0.0223670269958999,0.208477489571593,0.0318920228257721,0.0147675055134975,0.00321560827051223,0.00324132582698231,"CAN",6.83402837911307
2011,13,0,0,0.590240286706219,0.0196453002701385,0.140590792573384,0.105824833568467,0.0370484095296346,0.0249525093182839,0.00325339635724471,0.0139560467368884,0.00568179746974498,0.0442766726599034,0.0050165267970388,0.00488772107241184,0.00462570694064079,"CAN",4.61185339288565
2012,144,0,0.0062808337351528,0.090313763148829,0.462508461745346,0.0555934688629511,0.173713648990038,0.0766594316837225,0.0255301060844679,0.0217987883846313,0.00877697644088324,0.0114540099903061,0.00636742427982934,0.0405819412294134,0.00741076481752481,0.0130103806069049,"CAN",5.50747662626809
2013,115,0,0,0.0190232049151483,0.0513679392055411,0.0961337445689611,0.0364990986937588,0.233683022546848,0.0995122260902443,0.0492025847780693,0.108601444885616,0.0110378993972943,0.0283299939995284,0.0427916484444049,0.197789886913339,0.0260273055612467,"CAN",9.10005761633093
2014,105,0,0,0.0066892489883312,0.138921549642718,0.110368513183196,0.243458978181451,0.0675952759420157,0.143664187516082,0.0811587028900068,0.0365230704155689,0.0365199049754163,0.0110235949185051,0.0136262910104974,0.0162165682760258,0.0942341140601852,"CAN",7.65817738608432
2015,80,0.0120245377285798,0.0016006954422383,0.0195359424471726,0.026575949126807,0.607927519801395,0.105197259789224,0.115735353693218,0.0238657232868269,0.046007395284397,0.020698278297156,0.00460274057138879,0.00595095689111234,0.000866229053879619,0.00291126794522636,0.00650015064137818,"CAN",5.7446439304153
2016,191,0.000811305855094968,0.0492231382141285,0.0109677116441165,0.0352189183940855,0.0471155585619083,0.638041501959025,0.0912085298779903,0.0841181157123696,0.013874802697357,0.0139552683591705,0.00684378784007051,0.00361156384582225,0.00142319565003167,0.000690130103385749,0.00289647128544342,"CAN",6.10292460463865
2017,151,0.0381671493087102,0.00441130399317455,0.0758112938999017,0.0203503860365255,0.0411144542568463,0.0629837420744571,0.489135640399531,0.12839996504398,0.0821496236548536,0.0179525586629674,0.0181000747795534,0.0127288346709121,0.00173776059434688,0.00168353283694826,0.00527367978729179,"CAN",6.78643369242295
2018,130,0.0032281152707681,0.0493497473743451,0.0136704285226801,0.203923864201964,0.0178015257118983,0.0425864649080842,0.0558650787397435,0.39752756407084,0.111586753764353,0.048107038197949,0.0252573257354351,0.0108750321496671,0.00829859032167014,0.00940440663088447,0.00251806439971822,"CAN",7.0454333019026
1975,13,0.0460779539220461,0.338460661539339,0.0743179256820743,0.0124849875150125,0.253973746026254,0.0554559445440555,0.0803099196900803,0.105372894627105,0.00952999047000953,0.00602699397300603,0.00871499128500872,0.00451499548500452,0,0.00475899524100476,0,"USA",4.36636063363937
1976,142,0.000847000847000847,0.0133680133680134,0.144738144738145,0.0674170674170674,0.040972040972041,0.245818245818246,0.0976570976570976,0.088994088994089,0.120986120986121,0.0543130543130543,0.043033043033043,0.0407450407450408,0.0106840106840107,0.0235530235530236,0.00687400687400687,"USA",6.97284197284197
1977,320,0,0.084477,0.036825,0.274728,0.035936,0.091059,0.226822,0.075989,0.065442,0.040155,0.035504,0.023076,0.005718,0.003075,0.001194,"USA",6.093319
1978,341,0.00471721489269554,0.0111044827762471,0.0651123785082036,0.0630990628435917,0.264163092027084,0.0609120867341219,0.0886793355425001,0.215046071632681,0.0977584189186146,0.0471097465975514,0.0467976850884976,0.023386262895778,0.00521601240802819,0.00353288385575136,0.00336526527865367,"USA",6.81615191117382
1979,116,0,0.0649208169142422,0.102411205097767,0.0938207918130356,0.0572095441732873,0.176664612183776,0.102562040450178,0.173700584187258,0.127617910898353,0.0417980626560737,0.0287611394214028,0.00963332496626446,0.016453457288422,0,0.00444650994993903,"USA",6.54503961886743
1980,221,0.001475739571821,0.00543854789091418,0.300870100877347,0.018552307980827,0.0448782107987741,0.0816546964278821,0.112271221109867,0.0501199934134455,0.0894148469948764,0.110755217686448,0.094597075438716,0.0262797929172411,0.0378520964277918,0.0151605051712287,0.0106796472928208,"USA",7.02308027754873
1981,154,0.194925761335183,0.0403045277213922,0.0140259689642586,0.267260418577598,0.039012782041116,0.0554771361791354,0.0337559511175535,0.146754179796865,0.0376885374321951,0.0319532161326288,0.101848607013259,0.0231291815636951,0.0050390071866591,0.0016258202390166,0.00719890469944537,"USA",5.57777222285003
