Year,Nsamples,Country,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1994,193,USA,0,0.000516512,0.037749165,0.289369307,0.009116392,0.138151509,0.202058518,0.005519096,0.002337323,0.233503874,0.000206747,0.003334308,0.000310476,0.069498649,0.008328125
1995,112,USA,0.002180279,0.0141805,0.004441793,0.062875725,0.322873755,0.008822593,0.075293817,0.206760914,0.011913867,0.001535683,0.206184338,0.003467087,0.005066556,0.000424489,0.073978604
1996,158,USA,0,0.204940139,0.199096143,0.016294595,0.072906478,0.196660189,0.00308877,0.033748446,0.102617932,0.001417733,0.001823594,0.129818479,0,0.001372548,0.036214954
1997,192,USA,0,0.00899582,0.350904,0.289180085,0.005657884,0.052449974,0.120160213,0.006565309,0.03023678,0.054971639,0.002288682,0.002397727,0.052624448,0.000924563,0.022642875
1998,213,USA,0,0.06302913,0.240451077,0.189105665,0.268236599,0.031803826,0.03880062,0.089504734,0.007658209,0.005248636,0.034953838,0.002186139,0.00057647,0.022972922,0.005472136
1999,469,USA,0,0.104435362,0.255970833,0.199334782,0.174896016,0.110650451,0.028003026,0.032541842,0.034347345,0.006836096,0.011698341,0.019551741,0.002095765,0.003047636,0.016590765
2000,504,USA,0.010975638,0.046304989,0.099420793,0.151231372,0.135263214,0.204355575,0.131299959,0.069861727,0.044468107,0.02410815,0.020339198,0.02151526,0.010595016,0.007330395,0.022930606
2001,511,USA,0,0.211979915,0.193036214,0.129488933,0.184356403,0.094392712,0.077074358,0.048106814,0.012576742,0.012545429,0.011187069,0.006919284,0.006194694,0.004101436,0.008039996
2002,413,USA,0,0.000415674,0.630257258,0.16654524,0.055561764,0.049389303,0.029870381,0.025014132,0.018036167,0.005896966,0.004792234,0.005173723,0.001494195,0.002523979,0.005028984
2003,436,USA,0,0.001445722,0.016600996,0.799938168,0.092916035,0.018187314,0.024893025,0.017563044,0.012878394,0.006702822,0.003867328,0.001438693,0.002116444,0.00046165,0.000990365
2004,453,USA,0,0,0.070096757,0.081434734,0.717336644,0.053026249,0.013462242,0.030788684,0.017564585,0.00644485,0.004614704,0.001999912,0.001727956,0.000413661,0.001089022
2005,557,USA,0.000253653,0.007852127,0.005413679,0.080522098,0.06041678,0.700882122,0.064698001,0.021631919,0.019509747,0.016143586,0.008067428,0.009452113,0.002017153,0.00118469,0.001954905
2006,632,USA,0.004330392,0.037057909,0.136145266,0.020018964,0.098449031,0.056251192,0.565251371,0.039306334,0.010299871,0.015392012,0.006780115,0.004697593,0.003743312,0.000768905,0.001507733
2007,592,USA,0.009630154,0.144510035,0.046734717,0.176866507,0.014585379,0.071979981,0.037095928,0.419015097,0.037573363,0.016087232,0.014474842,0.006493909,0.002329029,0.000825938,0.00179789
2008,743,USA,0.009300161,0.105373167,0.359978438,0.025171456,0.157167541,0.010684627,0.036961974,0.032205348,0.229138099,0.017201848,0.006383603,0.005468691,0.001452872,0.002129438,0.001382739
2009,659,USA,0.008773776,0.005826106,0.360670555,0.308785043,0.027627313,0.0943589,0.007817978,0.021865438,0.015294075,0.121288223,0.014750792,0.004151113,0.004992778,0.001830622,0.001967289
2010,849,USA,0.000338926,0.300678317,0.036432188,0.385118846,0.190454597,0.01423988,0.021473301,0.001928246,0.00419464,0.007401803,0.030273918,0.004855663,0.000648017,0.000660982,0.001300674
2011,1068,USA,0.031595044,0.101787988,0.729873865,0.027536635,0.049603715,0.032977444,0.006723922,0.004706232,0.002913817,0.00176785,0.00040692,0.00805092,0.001150124,0.000364965,0.000540559
2012,707,USA,0.002137275,0.482020547,0.12011024,0.305998235,0.019361885,0.028735053,0.015910328,0.008772322,0.003859897,0.001154186,0.001818583,0.002952697,0.002975428,0.002012031,0.002181293
2013,979,USA,0.000335812,0.006043437,0.778238528,0.05988726,0.105637709,0.008456091,0.012214556,0.011923577,0.004657134,0.003237083,0.001722156,0.00058151,0.001178881,0.003608537,0.002277728
2014,1048,USA,0,0.036274264,0.039809704,0.694556977,0.065741964,0.108635463,0.010765896,0.019988303,0.012089412,0.005326447,0.001464123,0.000187168,0.000740201,0.001432133,0.002987945
2015,718,USA,0.041357421,0.013582604,0.080077014,0.042398903,0.721235347,0.036660984,0.036116056,0.006333775,0.008559646,0.008646698,0.001432654,0.001170198,0.000548008,0,0.001880692
2016,1249,USA,0.003318386,0.58802636,0.018059073,0.046558271,0.020516903,0.26987652,0.015679167,0.022479384,0.006412381,0.002606983,0.003085392,0.002111235,0.000482891,0.000517056,0.000269998
2017,1149,USA,0.036345589,0.007922384,0.446731945,0.024192095,0.041323632,0.024724536,0.34615875,0.02589187,0.020486511,0.011775124,0.003878299,0.006161442,0.00218732,0.000793201,0.001427302
2018,929,USA,0.06652488,0.279104248,0.016876519,0.307861642,0.016504053,0.025810428,0.02529008,0.204100303,0.027639463,0.013316159,0.006118164,0.005114655,0.003237699,0.002097679,0.000404028
