"year","Country","variable","agecomp","n"
2015,"Can","X11",0.467549523665507,80
2015,"Can","X12",0.593494379757044,80
2015,"Can","X13",0.0865832451232421,80
2015,"Can","X14",0.288050052926055,80
2015,"Can","X15",0.645366701950703,80
2015,"US","X1",4.12736422844391,718
2015,"US","X2",1.35458704169802,718
2015,"US","X3",8.01802680401671,718
2015,"US","X4",4.24182970497418,718
2015,"US","X5",72.1174300708373,718
2015,"US","X6",3.66717779392304,718
2015,"US","X7",3.61232290666597,718
2015,"US","X8",0.632123109058357,718
2015,"US","X9",0.854010028801993,718
2015,"US","X10",0.861623225823192,718
2015,"US","X11",0.142351449181349,718
2015,"US","X12",0.117283466099276,718
2015,"US","X13",0.0533101533511508,718
2015,"US","X14",0,718
2015,"US","X15",0.187058045097174,718
2016,"Can","X1",0.0846550809423438,181
2016,"Can","X2",4.91910726832136,181
2016,"Can","X3",1.12120589036578,181
2016,"Can","X4",3.52646965199811,181
2016,"Can","X5",4.69576834286861,181
2016,"Can","X6",63.7128572862448,181
2016,"Can","X7",9.25020289356333,181
2016,"Can","X8",8.33603475717297,181
2016,"Can","X9",1.41189572848109,181
2016,"Can","X10",1.39100299680245,181
2016,"Can","X11",0.697565277240074,181
2016,"Can","X12",0.354168136390359,181
2016,"Can","X13",0.134939131931002,181
2016,"Can","X14",0.0597565277240074,181
2016,"Can","X15",0.304371029953686,181
2016,"US","X1",0.341524451488476,1235
2016,"US","X2",58.1255551566767,1235
2016,"US","X3",1.81205289388761,1235
2016,"US","X4",4.79438083599076,1235
2016,"US","X5",2.09390681510054,1235
2016,"US","X6",27.3474784700873,1235
2016,"US","X7",1.64915854799595,1235
2016,"US","X8",2.24037266321679,1235
2016,"US","X9",0.690131451813096,1235
2016,"US","X10",0.280229792434456,1235
2016,"US","X11",0.306005384865092,1235
2016,"US","X12",0.184219557371728,1235
2016,"US","X13",0.0571479692184308,1235
2016,"US","X14",0.0334266073440394,1235
2016,"US","X15",0.0302548072332869,1235
2017,"Can","X1",4.11749599289818,116
2017,"Can","X2",0.203465341651666,116
2017,"Can","X3",7.59936946711711,116
2017,"Can","X4",2.15991924148645,116
2017,"Can","X5",3.83755603777772,116
2017,"Can","X6",6.74394212512021,116
2017,"Can","X7",46.8392105392943,116
2017,"Can","X8",14.548426256997,116
2017,"Can","X9",7.67802505363352,116
2017,"Can","X10",2.09472122900895,116
2017,"Can","X11",1.96771237639632,116
2017,"Can","X12",1.27039343575075,116
2017,"Can","X13",0.187873893423421,116
2017,"Can","X14",0.16897603136636,116
2017,"Can","X15",0.572912978078071,116
2017,"US","X1",3.26681391521352,919
2017,"US","X2",0.664561853705633,919
2017,"US","X3",40.8807359604326,919
2017,"US","X4",2.49499343648636,919
2017,"US","X5",4.21894060655335,919
2017,"US","X6",2.623046543075,919
2017,"US","X7",37.824715821032,919
2017,"US","X8",2.93552735361953,919
2017,"US","X9",2.2492620352256,919
2017,"US","X10",1.31449969087968,919
2017,"US","X11",0.392043609960732,919
2017,"US","X12",0.662730929816984,919
2017,"US","X13",0.255434081150436,919
2017,"US","X14",0.0904806185794016,919
2017,"US","X15",0.132347140707617,919
